Circuit Size,GidNET Mean Runtime,GidNET Stdev Runtime,GidNET Min Width,QNET Mean Runtime,QNET Stdev Runtime,QNET Min Width
6,"[0.018143224716186523, 0.012244033813476562, 0.015730071067810058, 0.021957874298095703, 0.020760536193847656, 0.02086920738220215, 0.012085485458374023, 0.012895488739013672, 0.01489715576171875, 0.025010013580322267, 0.011312389373779297, 0.013216495513916016, 0.014924240112304688, 0.012883758544921875, 0.012401986122131347, 0.012340521812438965, 0.012714004516601563, 0.01697065830230713, 0.017405271530151367, 0.015780305862426756, 0.011397218704223633, 0.011500072479248048, 0.01564490795135498, 0.010312414169311524, 0.010946393013000488, 0.010809659957885742, 0.01343686580657959, 0.009970450401306152, 0.010724258422851563, 0.01116337776184082, 0.010661077499389649, 0.011230778694152833, 0.0111907958984375, 0.010420107841491699, 0.010409188270568848, 0.01059727668762207, 0.011977767944335938, 0.011423587799072266, 0.01112968921661377, 0.012868618965148926]","[0.011986044983344829, 0.0012355732904697021, 0.006173872611633989, 0.01134086917601662, 0.006071216289903255, 0.009765034706302866, 0.001053440704584089, 0.0009581029417911669, 0.0037419976194202403, 0.03831900038390959, 0.0023059947866134528, 0.0020115703543013698, 0.002821658719768092, 0.0019982042244665, 0.003013908393892455, 0.0012609827941520762, 0.0016790196953532083, 0.007239675241271766, 0.007784937367391996, 0.004151105524978592, 0.0018721059034132112, 0.002289139394299302, 0.008068557875909807, 0.0006735431805327051, 0.0026144601452183854, 0.0018410993743606242, 0.007230819641649935, 0.0007011587817541664, 0.0019736991880441915, 0.0029842444328902957, 0.0010754656863331562, 0.0013897475013695192, 0.0029996248842613753, 0.0010015749778638726, 0.000727980045243956, 0.001500110529093829, 0.0028476428305465136, 0.0036152110749920903, 0.0025042298583849805, 0.004910141866346451]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[0.005182957649230957, 0.004864239692687988, 0.003299093246459961, 0.0036741971969604494, 0.006947922706604004, 0.0044519901275634766, 0.004261589050292969, 0.003529262542724609, 0.004256486892700195, 0.00407106876373291, 0.0034705162048339843, 0.0033289909362792967, 0.0026590585708618163, 0.002820324897766113, 0.0036077499389648438, 0.003669333457946777, 0.004279494285583496, 0.004331421852111816, 0.003580021858215332, 0.003982663154602051, 0.001410055160522461, 0.0035857200622558595, 0.002341461181640625, 0.0017216205596923828, 0.005042910575866699, 0.0014527559280395508, 0.0015240907669067383, 0.0016163825988769532, 0.001505565643310547, 0.0013948678970336914, 0.0016954183578491212, 0.0037056684494018556, 0.001438474655151367, 0.0014557361602783204, 0.001268768310546875, 0.001638174057006836, 0.00133056640625, 0.0013608932495117188, 0.0017117023468017577, 0.0015519618988037109]","[0.003409250976078842, 0.001829245775402526, 0.00046222359656602374, 0.0012934353429881107, 0.003621960846465889, 0.002646383482386822, 0.0006196969470522609, 0.0007453908466993253, 0.00100062045680747, 0.00047410432247363854, 0.00025307781672554997, 0.0002333210017512699, 0.00034685833436609207, 0.000536448903036815, 0.0003022783540293232, 0.0013039471874079246, 0.0006482908958691532, 0.0006048806975352386, 0.0004373503787737931, 0.00042588670476764, 0.00010914253622694683, 0.00622154565595307, 0.002857069136179804, 0.00046285781252143024, 0.011257605142408826, 0.00017248762977206908, 0.0003953207129396706, 0.0003659447494806552, 0.0002173538317973766, 0.00012161578413193918, 0.0010394028104300996, 0.006118841897231225, 0.00024473636834357624, 0.000299598911501901, 0.0002562950533017768, 0.0003992758865090886, 0.00010323996896484271, 0.00011268828352250258, 0.0007785611702974127, 0.00021390917574354697]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
10,"[0.03250086307525635, 0.022121024131774903, 0.021962881088256836, 0.028127050399780272, 0.0242387056350708, 0.023981332778930664, 0.02180612087249756, 0.022475433349609376, 0.022544288635253908, 0.020425581932067872, 0.035114073753356935, 0.022994637489318848, 0.02279365062713623, 0.020386505126953124, 0.02538294792175293, 0.02165365219116211, 0.027135562896728516, 0.02086966037750244, 0.034549617767333986, 0.02376384735107422, 0.047705864906311034, 0.021805787086486818, 0.02869269847869873, 0.04199326038360596, 0.03104405403137207, 0.017569446563720705, 0.030770540237426758, 0.04084999561309814, 0.02987687587738037, 0.029092860221862794, 0.030052924156188966, 0.044561028480529785, 0.03329780101776123, 0.020255661010742186, 0.02946772575378418, 0.03429634571075439, 0.03009967803955078, 0.02905595302581787, 0.02221064567565918, 0.020764851570129396]","[0.025335323076286356, 0.0011931169977086441, 0.001490631182345801, 0.006668505993293046, 0.0042884614157698425, 0.005030128790558085, 0.001859620831193199, 0.0023994247910649343, 0.002137965329683927, 0.0009658394754861626, 0.029180032458786375, 0.0031589532195216937, 0.0015136666853087163, 0.0007584823173503797, 0.005614559100019767, 0.002117334999513279, 0.007444118244457768, 0.001124862727338057, 0.02897856084191738, 0.00598805301411651, 0.05564087787807506, 0.0048775495030080355, 0.0012561039586502737, 0.028904692819641194, 0.004049098270123033, 0.001303792195792287, 0.0019985892288953834, 0.028684973559155474, 0.003704747584940537, 0.002024471474065863, 0.001401233187309448, 0.04127748813780819, 0.0055608771892927235, 0.004862984264707341, 0.0012514168660782087, 0.006858859976939281, 0.002841721177533141, 0.002064929676952333, 0.008697698521944805, 0.0032173130848519166]","[6, 5, 5, 5, 6, 6, 4, 4, 5, 6, 4, 5, 5, 6, 6, 5, 5, 5, 6, 6, 9, 10, 9, 9, 9, 10, 8, 8, 9, 9, 7, 9, 8, 10, 8, 9, 9, 9, 10, 10]","[0.03910648822784424, 0.04454727172851562, 0.03244118690490723, 0.04829087257385254, 0.03175942897796631, 0.025832152366638182, 0.05565564632415772, 0.033612418174743655, 0.029906749725341797, 0.02925400733947754, 0.04005188941955566, 0.030292916297912597, 0.03729336261749268, 0.02983071804046631, 0.03491666316986084, 0.035583901405334475, 0.03225564956665039, 0.04051086902618408, 0.03176238536834717, 0.024861955642700197, 0.00619504451751709, 0.0024306774139404297, 0.004498839378356934, 0.00700688362121582, 0.004162812232971191, 0.002307486534118652, 0.008196783065795899, 0.007455754280090332, 0.0043467521667480465, 0.004543614387512207, 0.010549640655517578, 0.0045917749404907225, 0.007648563385009766, 0.0025372028350830076, 0.0066367387771606445, 0.014136123657226562, 0.004087138175964356, 0.004095768928527832, 0.002476358413696289, 0.0023332834243774414]","[0.007524620715924563, 0.026724163644715113, 0.01597586915245445, 0.011451251316286853, 0.006410762191227061, 0.0021757119575024123, 0.02492723216615972, 0.003497823369824925, 0.001219021814650145, 0.0043323802489931736, 0.009586764217761256, 0.0024203528903884827, 0.006132787004044258, 0.0033004877103482975, 0.008676361324852541, 0.008468248365146576, 0.004760424269924047, 0.01013863419352177, 0.0017697264469077557, 0.001513630907518324, 0.003253479115056946, 0.0005529670225326952, 0.0005377888324093538, 0.004357129368242849, 0.0007193682889908919, 0.00017485837210741542, 0.00044442778210180807, 0.0013680733965557809, 0.00041710439077220426, 0.0008231599551226298, 0.001088244706466767, 0.0013383747083131974, 0.0007244668420411179, 0.0005839928340077449, 0.0006272372261957465, 0.02564454906432918, 0.0005676675378106423, 0.0007197797392952627, 0.0005689010146138462, 0.00028299402052023114]","[6, 5, 5, 5, 6, 6, 4, 4, 5, 6, 4, 5, 5, 6, 6, 5, 5, 5, 6, 6, 9, 10, 9, 9, 9, 10, 8, 8, 9, 9, 7, 9, 8, 10, 8, 9, 9, 9, 10, 10]"
