Circuit Sizes,QNET Average Runtime,QNET Stdev Runtime,QNET Width
16,0.19319069685298018,0.009588844936861771,9
20,0.5774891372919748,0.012973007833892172,10
25,1.6884245705691032,0.04170419824902104,12
30,3.995501202140336,0.14735072287375958,12
36,10.050498883427021,0.3564868853665098,14
42,23.29513827271876,0.952378679745111,15
49,48.572785107576884,4.12622235368142,17
56,91.63285464999664,7.775656260498006,19
64,164.99705145371263,6.012475496390179,19
72,261.23470815185493,4.180733587127568,24
81,472.84956755200153,10.093604601218095,22
90,746.4787026157137,15.549835519994689,26
100,1276.4227799155674,39.247998748678036,27
110,1919.615964148281,13.999648439609352,27
121,3224.3747777707054,97.59331650576077,27
132,4953.5780449090025,81.4210351528983,29
144,7568.335295745421,190.92775067861962,32
