Circuit Sizes,Qiskit Average Runtime,Qiskit Stdev Runtime,Qiskit Width
16,0.051564559500132286,0.00528215875178268,12
20,0.05853066087126665,0.002304357915533043,14
25,0.08305307178566831,0.004537386183140866,15
30,0.10940680168569088,0.005117378329062695,20
36,0.13723563847140344,0.0027146828733051035,22
42,0.18562381285716714,0.011977186878087203,27
49,0.2176963085657917,0.025220003845268214,34
56,0.2459822964322354,0.006738173151410921,39
64,0.2945480449956709,0.005462805311978042,46
72,0.3502932690025773,0.011458644633492365,48
81,0.41380844914653736,0.0034599831289481163,55
90,0.4973074392847983,0.006800565727610552,65
100,0.5834934195778,0.016329292893585586,68
110,0.6622013815753495,0.010507038326469705,76
121,0.8333946207130793,0.04091146849504028,87
132,0.9296015942818485,0.02460260151841988,95
144,1.1055937725676424,0.05547788015790307,104
