Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width
6,"[0.010013764702806448, 0.0097858717456776, 0.008715635892835314, 0.009662660982867237, 0.009897111605595066, 0.008946336350012903, 0.008948783260005127, 0.008692216101376939, 0.00953485816995713, 0.010687283974215723, 0.0090629158586879, 0.009525499191451153, 0.009667937445753654, 0.010327225764298679, 0.010083409159976455, 0.01011617531713065, 0.010767789568635635, 0.009435335159983618, 0.00973164128717534, 0.009911077379905953]","[0.000778059813344402, 0.0006343383246223512, 0.0002443002474964108, 0.0005785336153445336, 0.00044186205273621774, 0.0003495681708329233, 0.0003720510526166115, 0.00016341999701285925, 0.000730824254883152, 0.0011920978524854891, 0.0002569035763925529, 0.0009180253930615087, 0.0007204930398196102, 0.00026261844203408295, 0.0009761894715811163, 0.0008493685085487065, 0.0011663464275727968, 0.00035101203979591455, 0.00035952087051477826, 0.000819747296367662]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
10,"[0.03410884295756529, 0.018120948871780587, 0.03540132898529659, 0.03399182450001327, 0.035490065000236166, 0.018210661490073627, 0.03568448061414529, 0.034148700871654517, 0.036290574756899986, 0.03875076274271123, 0.034855473370823474, 0.03328603924351877, 0.03408790114210985, 0.018279565985722, 0.03370959787155568, 0.03229091062842469, 0.03521038841447859, 0.030989820228673384, 0.017390222401466288, 0.01741076407147505]","[0.002794148359910404, 0.0010943503329455873, 0.0026743562339101453, 0.0032952592203219547, 0.0028881216866210925, 0.001536821945350675, 0.002966410853177864, 0.0025768641364074933, 0.003994901006500705, 0.005106719880025526, 0.0017657685367853536, 0.00244050264835177, 0.002416880283262185, 0.0018827393076993883, 0.0018006044457535536, 0.0010759949723986998, 0.003908124917217772, 0.0010218232538672714, 0.001043978123370419, 0.00037948606704701606]","[9, 10, 9, 9, 9, 10, 8, 8, 9, 9, 7, 9, 8, 10, 8, 9, 9, 9, 10, 10]"
14,"[0.04745733814280746, 0.04807167764312388, 0.061443890385063635, 0.053348737685675066, 0.05699963995721191, 0.04894149941475397, 0.053779308014366374, 0.04997691648646391, 0.04924698864301068, 0.05408074497078945, 0.050475809928528695, 0.048616363313963774, 0.051511004442415596, 0.05379815800032312, 0.05220282742936563, 0.05543406127170393, 0.05947389017216794, 0.049794034084853986, 0.05061887145691019, 0.05556456124301933]","[0.001278248408484407, 0.003904836944777387, 0.0086410612999894, 0.002120348890956049, 0.0030743150636453323, 0.0011711837570284236, 0.004560890954999427, 0.002261107911872271, 0.0027237394003161806, 0.002876845967710822, 0.0026538235667579488, 0.004413969188309532, 0.007531308181622468, 0.003073544432804539, 0.0014747527899043064, 0.002066491897280038, 0.006094175827931731, 0.0035525035124776114, 0.0025019099136399025, 0.0050191157284882925]","[12, 12, 8, 10, 9, 12, 11, 13, 13, 10, 11, 12, 12, 12, 9, 10, 11, 13, 12, 11]"
18,"[0.07179729554378096, 0.06840233997208997, 0.0736378674428644, 0.08319424392830115, 0.06630210722838195, 0.07873910272859834, 0.073724384200094, 0.07605623192835732, 0.079506695028145, 0.07356952571468096, 0.078855984114177, 0.08221518835759656, 0.07795118288527843, 0.07400614621500219, 0.0784169881147266, 0.07153430999980108, 0.0773161077144323, 0.07760738348629924, 0.07024808301523859, 0.07043288821421032]","[0.003918531714852006, 0.004433476283989667, 0.00520781914730877, 0.005191139201500446, 0.0051215005151656195, 0.007264820197441871, 0.0032634590574642758, 0.006880498958398119, 0.011457058040338279, 0.0017315927712475807, 0.00938014909212351, 0.003367895593314085, 0.007522361492310841, 0.0027032381396660584, 0.009588585054640466, 0.007607370859156693, 0.0065692652409016445, 0.003763040920706332, 0.0034835235274497706, 0.0023897292471645876]","[15, 16, 14, 11, 15, 14, 14, 14, 15, 14, 13, 11, 15, 13, 14, 16, 16, 14, 15, 15]"
22,"[0.10355542581362118, 0.12493057801454728, 0.10550683089989303, 0.10556493481479785, 0.10708618589893117, 0.1045446679574005, 0.1272632055716323, 0.103175756942697, 0.0996558787430071, 0.10289854248528303, 0.10492025138519238, 0.11479644134274816, 0.11630773151492967, 0.10805090024202531, 0.10288174135618777, 0.1266397137714583, 0.19846009828117012, 0.09791987118618896, 0.08704177217108997, 0.0991947360573769]","[0.0032177602295489294, 0.0035100693241118656, 0.003855916813910449, 0.010174326095515308, 0.005763638047587809, 0.004129318727343825, 0.012464005153385185, 0.007832963982577091, 0.006557683465274587, 0.006106643619406558, 0.005360306567657413, 0.010565193600172265, 0.007138438672649848, 0.009683259126258007, 0.003115994059078089, 0.026076322569534665, 0.11037309087436237, 0.00386552365476901, 0.0017290543170741014, 0.004535390092917113]","[16, 14, 16, 17, 16, 15, 12, 16, 17, 17, 15, 15, 14, 16, 15, 16, 14, 17, 18, 16]"
26,"[0.153121281714162, 0.13263158310104958, 0.12788813491476633, 0.13330856059910728, 0.13148187438574885, 0.16479152327935612, 0.14663913862896152, 0.1404241213433644, 0.11905808754340146, 0.13809401191496623, 0.15997608597140894, 0.13796173945676335, 0.1463112122720174, 0.14735884301480837, 0.144400074814413, 0.13081006908614654, 0.12776896258583292, 0.1192583107144206, 0.12170042651497559, 0.13817598422839572]","[0.011537970141327795, 0.00465439665117485, 0.0037903221479468944, 0.006736735008867332, 0.007766853230884362, 0.01816870525908697, 0.00455695628171967, 0.0045564359628669894, 0.004467767925139995, 0.006978009327789871, 0.00813114443646991, 0.0062902737585212075, 0.008135144282227865, 0.005853265021123829, 0.009239527455415864, 0.010786537178562317, 0.004441118030031333, 0.0032316304337581922, 0.006817926557816083, 0.005117698283401404]","[16, 19, 20, 19, 21, 14, 16, 19, 21, 19, 14, 17, 16, 16, 18, 17, 18, 18, 16, 16]"
30,"[0.1736176177863464, 0.16872855931412362, 0.17577894324287108, 0.18245327052843224, 0.17562398065721416, 0.1716084909425782, 0.16949994728534615, 0.19870492964359335, 0.21228167114479998, 0.18351117580023127, 0.16682345487102532, 0.1789949100148598, 0.16995380628629522, 0.19443544880029678, 0.16351844957098366, 0.17662946897201307, 0.1772710354711827, 0.17207893867162058, 0.1697266001000701, 0.1923425834309975]","[0.007913565018710897, 0.0034043147735926425, 0.004886301407400608, 0.00819254007600659, 0.0037170219764693156, 0.01699731025417622, 0.00666924291282839, 0.012669664051527486, 0.013155325316846198, 0.007959683913613033, 0.007372821355633195, 0.009470638007588841, 0.005409653267645563, 0.0063842853358189455, 0.013060218894717297, 0.010657603391459262, 0.0035697719143645756, 0.0064024283312913354, 0.011218348559936852, 0.011926856857363754]","[18, 22, 21, 20, 17, 24, 21, 19, 17, 20, 23, 21, 21, 17, 23, 20, 18, 21, 20, 21]"
34,"[0.28557497985977015, 0.25192413829167243, 0.22046332499511273, 0.2905832862847352, 0.20813349372058706, 0.2608496012856319, 0.2340613902820873, 0.2646038938546553, 0.2318633080036047, 0.23689895457521612, 0.23198726085164317, 0.25497674471781856, 0.23265468586136454, 0.2750338369972139, 0.31469810743250753, 0.24479710114454584, 0.25693345985824373, 0.2400414995707771, 0.25221317799878307, 0.25920363686080755]","[0.01988519980781778, 0.008005645378336946, 0.013216243096211807, 0.01256954266457888, 0.006565130999356245, 0.01270891369653243, 0.014481883937079117, 0.031353061218517456, 0.004040941225538344, 0.00876075531499712, 0.02521246556140125, 0.027192410236610492, 0.01596189969362613, 0.020448386265308573, 0.04086392768660518, 0.017733287032909818, 0.016880240407019326, 0.018625787242975384, 0.016894032679416065, 0.03488529179150469]","[23, 20, 24, 20, 25, 22, 24, 20, 21, 21, 24, 22, 23, 21, 18, 22, 22, 24, 21, 24]"
38,"[0.36306048829075216, 0.34268970386308084, 0.3650368831419785, 0.2887262732879857, 0.38078095443363835, 0.3283477258560846, 0.337239392995668, 0.3467316578608006, 0.3600183570067332, 0.32036381042728734, 0.3031055481489083, 0.36005562428285237, 0.29482803528247004, 0.2876414328514199, 0.3772320179975525, 0.3176108438554885, 0.36589153985758976, 0.2984359887237328, 0.3362426234317744, 0.3909319677082489]","[0.027033404394046643, 0.011010495093357886, 0.05095734220926372, 0.011207785783393343, 0.03959970612045674, 0.05193344081965586, 0.04935912460376989, 0.04587072151092283, 0.007485739556193692, 0.008110749939141666, 0.013544262140534634, 0.025114918746856327, 0.00688714166709798, 0.004640215067314934, 0.04442969560757156, 0.008722518661108887, 0.05235721384873208, 0.00470200800298065, 0.021119705647187646, 0.03675454439008708]","[22, 21, 23, 27, 22, 28, 25, 25, 22, 24, 24, 23, 24, 27, 22, 23, 24, 25, 23, 20]"
42,"[0.4449614055712508, 0.4363096280098294, 0.43026080014533363, 0.4618672592831509, 0.47981014829045826, 0.3779930970049463, 0.525755725144076, 0.3743177579973625, 0.4753008142870385, 0.4105168681417126, 0.40458822700228275, 0.47572691957299995, 0.4311350604236525, 0.46203972514402786, 0.37462986485999344, 0.4273921264227413, 0.4776242074273926, 0.37567323699892896, 0.43754128171297324, 0.4115600812822647]","[0.016384142179436078, 0.005332396515888749, 0.031177308764164573, 0.0810103209207711, 0.023022880197002885, 0.009068824374831657, 0.05102075514411789, 0.015056236013469509, 0.05894797152405323, 0.010187020721669337, 0.02022576158531403, 0.03486162014283582, 0.009698721973318713, 0.029462437402632876, 0.004786506489416889, 0.01837453565763083, 0.047197954957492426, 0.008963493713655478, 0.033973993941324776, 0.022224967090042763]","[23, 26, 28, 28, 24, 29, 24, 30, 27, 25, 29, 24, 24, 25, 31, 25, 24, 28, 26, 26]"
46,"[0.5211830935731996, 0.5560273282836923, 0.587901317718206, 0.6316240565751546, 0.7944561085688682, 0.6384063624302924, 0.5412113965680224, 0.5188851221464574, 0.6530235497172855, 0.6225983931383651, 0.6568749854341149, 0.613568699573599, 0.6456839394314946, 0.6306629135714112, 0.631304787143433, 0.6855947645713708, 0.4870887265756859, 0.5636223160046419, 0.658032939000155, 0.5199910142858114]","[0.04532275530609792, 0.015033771480568102, 0.05178129303348904, 0.026407926519847733, 0.08629823208880011, 0.03419131246963531, 0.0404644887624085, 0.037295123061085296, 0.10170319178125517, 0.08619597751042773, 0.05203652137257324, 0.03204387737382596, 0.050618956627362384, 0.08306040384434471, 0.07399491334819777, 0.057804480020955604, 0.029244331633349756, 0.0164491333912086, 0.03894087787360563, 0.041598654090541004]","[27, 29, 31, 26, 24, 31, 30, 31, 28, 28, 25, 26, 26, 30, 29, 27, 33, 28, 27, 29]"
50,"[0.7303770840018322, 0.7032405057190252, 0.7371418798575178, 0.7210946557087092, 0.7255097312819478, 0.8367554512847813, 0.5991154058595255, 0.7854284622797942, 0.6700127168525276, 0.6569293469988874, 0.7513344681439256, 0.7215172411441537, 0.6060561222880746, 0.7687973798601888, 0.7086152235653052, 0.6883826771476639, 0.7098437374266463, 0.8366030667176736, 0.695995916429508, 0.7732976997129819]","[0.04241293446027894, 0.047606637867371654, 0.044033125590010075, 0.0159878439815669, 0.027010848682842405, 0.08069076618177304, 0.034850795947864985, 0.02276675307253631, 0.03223074000897691, 0.03541506781974838, 0.03003171309098388, 0.059498757999357985, 0.05117627033525698, 0.019626125480551957, 0.01830782280271567, 0.0281249231986229, 0.023663451216108782, 0.04392407604325984, 0.05283838723448208, 0.040671679192225724]","[29, 33, 30, 29, 25, 28, 33, 29, 33, 32, 27, 33, 35, 28, 29, 30, 28, 28, 32, 30]"
