Circuit Sizes,QNET Average Runtime,QNET Stdev Runtime,QNET Width
6,"[0.011859048712857269, 0.011278366844344417, 0.013008417625678703, 0.013034856564232282, 0.011871153019934093, 0.011606939424319925, 0.012118856348596246, 0.013782302510018262, 0.012176412224278985, 0.012436795894297704, 0.013725753637180399, 0.013264863815732367, 0.013546982198562806, 0.013968018609988836, 0.01258031650425567, 0.013090644348579062, 0.013266532392881345, 0.013804925194334438, 0.014041641758563596, 0.013732794905621891]","[0.005004593031793336, 0.004728078432037162, 0.006688392428860534, 0.005471855969174749, 0.005145766702150519, 0.004877598570666364, 0.005444359459711221, 0.006511259090690261, 0.0053538361843950754, 0.005400898590359923, 0.006307227244045068, 0.005670480727742888, 0.005772609887333654, 0.006538379030357192, 0.005062855605384917, 0.005624661573089811, 0.0056457339111683985, 0.006670805753898704, 0.006015477158402833, 0.0057427528979186295]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
10,"[0.042897959838613005, 0.02287884640573923, 0.040818579905691356, 0.04254047183993472, 0.04234506915431536, 0.023820836328626943, 0.025520409813699577, 0.02424515288522733, 0.02139635525693718, 0.022072514914075976, 0.02503312081472749, 0.04014830021004724, 0.03089678951406053, 0.02353258735138557, 0.022727209270981673, 0.04417990780576864, 0.024472023700114472, 0.023872807643160094, 0.022675515014312364, 0.02350144131853345]","[0.009506435343716372, 0.009647221615038865, 0.009325322607980973, 0.011017093844172475, 0.011352549719199303, 0.009887072427954178, 0.002450018940643828, 0.0016562799552091126, 0.0015197411792384728, 0.002941790044646879, 0.0010798882771955384, 0.01026033686229441, 0.0017932119452748253, 0.010221432120027723, 0.0023713197397614576, 0.011802225531086043, 0.0029856809987014467, 0.004364715811654187, 0.00930718202139644, 0.010660725686097017]","[9, 10, 9, 9, 9, 10, 8, 8, 9, 9, 7, 9, 8, 10, 8, 9, 9, 9, 10, 10]"
14,"[0.041322944870833975, 0.03298658395693305, 0.09045653841499837, 0.06814863484261359, 0.08382128304302959, 0.03495330364218847, 0.04177523348605194, 0.03040568558499217, 0.02876012568594888, 0.07267750374282644, 0.06577828231508777, 0.04177074677094684, 0.03481025071440464, 0.03620771767122538, 0.06899348308631618, 0.06889168612875178, 0.05421261691413487, 0.03133069264295045, 0.036731175799754316, 0.049207954956883834]","[0.005251643496405208, 0.0029792894437960793, 0.003053154602944883, 0.009141658870711781, 0.002731231979192712, 0.0038324958919778093, 0.003844862629620407, 0.00215285956127893, 0.00125390358948266, 0.009188117545115681, 0.007492153091897973, 0.004222687700301095, 0.002995515418045039, 0.00189089137785799, 0.006192793802363652, 0.0028501345010867557, 0.005839897451486564, 0.0033345055521747467, 0.0035254125152752993, 0.005686338398391337]","[12, 12, 8, 10, 9, 12, 11, 13, 13, 10, 10, 12, 12, 12, 10, 10, 11, 13, 12, 11]"
18,"[0.0951794573999775, 0.051458805300145675, 0.10048116671387107, 0.19232896055701923, 0.08223992731405556, 0.11802510922882772, 0.09733842102910525, 0.11597274741423981, 0.06707796541533233, 0.0943215817433416, 0.10553114761423786, 0.24950688228377008, 0.07205803102821975, 0.12225003108531902, 0.08101313117118221, 0.04889543057153267, 0.05929733347147703, 0.11783262277146735, 0.06979719448593512, 0.09176338641430318]","[0.009227938336110526, 0.005590964350017626, 0.004725527893808407, 0.00914516141743547, 0.021458319449616323, 0.003884122413331044, 0.001228749753467741, 0.006680501076035552, 0.006352983591728429, 0.002598438366794803, 0.002696229878434936, 0.03056164314129706, 0.005064878602229568, 0.0071990192801378965, 0.002386764803350706, 0.003658428683369724, 0.004438200788616619, 0.005447974526593748, 0.005202823098077351, 0.003877211888875622]","[15, 16, 14, 11, 15, 13, 15, 14, 15, 14, 13, 11, 15, 13, 14, 16, 16, 14, 15, 15]"
22,"[0.23615860443013453, 0.5509402337151447, 0.32205300571097595, 0.25857957842942725, 0.2852295382804836, 0.287848551994622, 0.4987227410019841, 0.22789097214782877, 0.18539610499948528, 0.26511677727934774, 0.22953144743223675, 0.34656350799819585, 0.3394976577131144, 0.26652698000127983, 0.30442828743252903, 0.2471376255645217, 0.3867052845723395, 0.16799269612903506, 0.16480288571453586, 0.2563567057118884]","[0.023524524449822448, 0.03887939614324033, 0.007651464637791732, 0.027329253345361196, 0.013529337852370567, 0.04192875956641394, 0.03501266799620535, 0.007865827635014668, 0.011020063575789643, 0.017358218874389063, 0.015839730333758992, 0.018157143573069818, 0.007037293593776925, 0.019552190018649756, 0.01778279658089652, 0.021780434799851037, 0.012432902044330538, 0.016583217211168295, 0.012079434526319073, 0.018503840170997713]","[16, 14, 16, 17, 16, 16, 12, 16, 18, 17, 15, 15, 13, 17, 15, 16, 14, 17, 18, 15]"
26,"[0.6862645714302614, 0.628366447278365, 0.4402226435735689, 0.5016021565742059, 0.36390537657176275, 1.1952217961412057, 0.7451855042891111, 0.48378685271018185, 0.31928038770898376, 0.5912648328604908, 1.327557854574739, 0.7177637961410385, 0.7981208168535626, 0.7899669611402454, 0.6581634354328604, 0.7519045195741845, 0.6484167662939788, 0.5363653142911582, 0.7129932881424403, 0.8169080229958386]","[0.026565489760929224, 0.024429981153230116, 0.013782438520200559, 0.028029142181799614, 0.018357178771029912, 0.06192304512643893, 0.03164015389641066, 0.021147066871417975, 0.008729462191187297, 0.01782355689363148, 0.04817124357302547, 0.02521043280532359, 0.03639224486972544, 0.022727658143174814, 0.034065738246076296, 0.028812483639780857, 0.050535222736997606, 0.036240034364631205, 0.01234184950779143, 0.18173733116754381]","[16, 18, 20, 19, 21, 14, 17, 19, 21, 20, 13, 17, 16, 16, 18, 17, 19, 18, 16, 16]"
30,"[1.6784985508462082, 1.33862789729028, 1.5762529970088508, 0.9254940591469806, 2.0091556685718905, 0.7321598944295796, 1.4767560902816643, 1.6825371862838179, 2.073667247717302, 1.041049534292792, 0.7807611915715305, 0.9404159095803541, 1.123974024850343, 1.817964488860785, 0.691510186285346, 1.547922085288779, 1.444340562859517, 1.055328795998191, 1.5209476078619315, 1.1317545972872591]","[0.12870287986509044, 0.06215306919443846, 0.05936671346643743, 0.030121336914611992, 0.08444264382555598, 0.038613354431595893, 0.02866236437801932, 0.08084248660932213, 0.15943990734796587, 0.0860426367463498, 0.1119570035273485, 0.030950547565039236, 0.036843012396066015, 0.05527515691358123, 0.03755973657329, 0.1410579689978243, 0.04880281406025101, 0.0688249994255963, 0.053176841266142943, 0.09564912191417148]","[19, 22, 21, 21, 17, 24, 21, 19, 16, 21, 23, 21, 21, 18, 23, 19, 19, 21, 19, 21]"
34,"[2.6360517955701135, 3.229846210863408, 1.7302053570040568, 3.3099489681397762, 2.205453128853281, 2.888647124429034, 2.1830977161423237, 3.5583654898551424, 4.0582016522821505, 3.314587058574294, 2.5405177497180245, 3.2614144668540184, 2.783680133430088, 2.747399690423793, 4.621157484428425, 2.265392876288388, 2.9923405691349347, 2.033421952718137, 3.024616631001533, 1.9616802349961031]","[0.13927830533854316, 0.15083152684145576, 0.09356688816659148, 0.22640440798825692, 0.07945179226815498, 0.09925619415435893, 0.29463502180932866, 0.2365969582820275, 0.22033858911285994, 0.1373042032653662, 0.14928915974986784, 0.13372049984132975, 0.15624821636667413, 0.09165800273886061, 0.22108549974063002, 0.1262325458292779, 0.20689779600856337, 0.0616718867791126, 0.07184123373665353, 0.11996229891947251]","[23, 21, 24, 21, 24, 23, 24, 22, 21, 21, 24, 22, 23, 23, 18, 23, 21, 24, 22, 23]"
38,"[6.127366595003488, 6.24825080685384, 6.642718878146427, 3.634742581713778, 6.33187658971292, 3.830797489857235, 4.158916022715857, 3.9354300155786666, 6.0182960112870205, 5.332199344989411, 4.543789301566513, 6.361138075278307, 4.4131290998567625, 3.418421874001589, 5.7365500257209145, 5.2822162791438005, 4.07426707371321, 4.3534882750037855, 5.099206181421843, 8.078549282276072]","[0.18123338026748909, 0.8644881367597727, 0.2904802074606208, 0.13444746870937935, 0.3232778276714009, 0.25426871807153184, 0.05868114363224657, 0.057580672745778, 0.09121014445025584, 0.08892163591126251, 0.14958472334950232, 0.3283752487601387, 0.0742253044582361, 0.025067479959004855, 0.13494778507718844, 0.0590091578957836, 0.0444395416134492, 0.07509584943965548, 0.26864810843742937, 1.133540739950618]","[20, 22, 22, 28, 22, 28, 25, 26, 22, 22, 25, 22, 24, 27, 21, 24, 24, 28, 23, 20]"
42,"[10.583119242140258, 10.129044162437951, 7.680655260574505, 8.13507527756987, 9.814563420002482, 6.752826508562846, 9.935810790002247, 6.270348909144689, 6.787933552858054, 8.756525707435296, 7.730931640423868, 8.785489538996314, 7.845716368286438, 10.307164280288687, 7.12561225828748, 10.30688451471672, 11.344743231718894, 9.32748103756707, 9.782397373005681, 11.88830208242455]","[0.5513252735071937, 0.8438990832123389, 0.09330566346961179, 0.6518073650700981, 0.40625556212638225, 0.21935904076300242, 0.22445434153674684, 0.11285296552826876, 0.15945074321990668, 0.33912070617080886, 0.43887765937374923, 0.3305694296370992, 0.24823268668068132, 0.4186063059250318, 0.3079339773449555, 0.3955852555179402, 0.3256842794837782, 0.21008218444903426, 0.1335180494757892, 1.526117257868535]","[23, 26, 27, 26, 25, 30, 25, 31, 27, 26, 29, 25, 27, 25, 29, 27, 25, 26, 29, 26]"
