Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width,GidNET+ Average Runtime,GidNET+ Stdev Runtime,GidNET+ Width,QNET-deterministic Average Runtime,QNET-deterministic Stdev Runtime,QNET-deterministic Width,QNET-random Average Runtime,QNET-random Stdev Runtime,QNET-random Width
16,0.0173548686268207,0.000534845611981576,10,0.029453659601443,0.000624996176253745,8,0.0243913581877548,0.000804851494958019,8,0.232041812318909,0.0206455904825504,8
20,0.0240089461706313,0.000722436427000971,11,0.0533647763576092,0.00229682202760646,10,0.0636632023296053,0.00183190828695141,9,0.644203399424441,0.0325105863544941,9
25,0.0382126618841929,0.0012262527130064,11,0.112910511456097,0.00460016483301282,10,0.189792671955989,0.00732904796796867,9,1.91357036668342,0.0340463960678529,9
30,0.0545744743979802,0.00751798645776735,13,0.251761611135277,0.0173853659286088,11,0.435744377884216,0.0191098013465062,13,4.44256883588553,0.116288914112935,12
36,0.0779805620001363,0.00286521996600062,13,0.417174360282453,0.0228699367592,12,0.946331132286494,0.0409678742556718,14,10.3442208005747,0.343987727014561,11
42,0.109327890901893,0.00224614168521625,14,0.802318541965048,0.0620817534365821,12,2.17893833672029,0.0482866693261184,13,24.0051559528469,1.05698536391164,13
49,0.171361775727876,0.0113922203178849,16,1.51537535730417,0.0959924581067098,13,4.7855116638488,0.463008002581322,15,43.0607131048205,1.04746407652384,14
56,0.18227952934602,0.00434572723913872,16,2.08095120131371,0.0859616253542914,14,7.68336155616479,0.061907035455269,19,74.5704165705746,3.27211991080373,19
64,0.234601595555432,0.0252810795567047,21,3.70821362329713,0.360354073921604,19,14.6764336092996,0.0969366619812153,17,146.020070336726,1.9855278441897,19
72,0.319335020995433,0.0244155225722108,23,5.59245964156331,0.331839257661903,18,26.159060569979,0.243962431680321,20,270.305784115285,4.20290409550918,20
81,0.44281169025427,0.0394917717715208,23,9.20984537613445,0.0785639817942523,18,47.4716010177009,1.73414972615337,20,477.491955507996,8.84035227482315,20
90,0.640613810708081,0.115054560579276,24,15.1710239994074,0.367329343785821,21,80.6782528196927,1.40374386568715,23,753.273386341453,10.3737820638047,23
100,0.699189346150628,0.014669118437134,25,22.47184966616,0.658527255543036,22,128.985855950275,5.42118851561188,25,1268.25871725555,10.9157193180146,25
110,0.882459223702816,0.048960009063571,24,34.9588930444027,1.22136853710508,23,194.793141072317,3.01454808045583,28,2045.40384203688,68.6444238704926,23
121,1.28642722586769,0.0281131962949252,25,61.5730698334186,6.14677953987703,24,294.011376290865,5.32394122785838,25,3250.86347069501,121.333828845993,24
132,1.53328765742481,0.0589652890182281,31,76.0656140490069,0.639508187967492,25,459.736602887578,6.07041044017415,30,4726.53186483856,192.844638170767,28
144,1.8007772127499,0.179772312786886,38,106.391831595717,3.17746897277243,28,704.215264528009,6.36318490922627,29,7662.45137651584,211.900421869858,29
