Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width,GidNET+ Average Runtime,GidNET+ Stdev Runtime,GidNET+ Width,QNET Average Runtime,QNET Stdev Runtime,QNET Width
16,0.017125425661381866,0.0012141146283914603,10,0.03181729099846312,0.0018797146066882328,8,0.02439135818775477,0.0008048514949580187,8
20,0.02245001256898312,0.00039455642142076353,11,0.0502425964289744,0.001274279886276369,10,0.06366320232960529,0.0018319082869514068,9
25,0.03620229124457442,0.0017117443610093917,11,0.1054137698008812,0.002544457370264449,10,0.18979267195598887,0.007329047967968673,9
30,0.05594018451437088,0.003999489692809719,13,0.20999295429127024,0.008277928192088651,11,0.43574437788421555,0.019109801346506233,13
36,0.07937423558573106,0.008495884747756758,13,0.4122240001701617,0.02804999616038282,12,0.9463311322864943,0.040967874255671846,14
42,0.10777270496057878,0.006171590747473495,14,0.7689593294469107,0.012419809391008268,12,2.178938336720291,0.04828666932611838,13
49,0.14595746771332677,0.0052253045716716545,16,1.32354316457973,0.02647889044776933,13,4.7855116638488004,0.46300800258132163,15
56,0.18828716210555285,0.009010063803427235,16,2.0600977438235923,0.04109742461402796,14,7.683361556164788,0.06190703545526899,19
64,0.2513933374346899,0.01183980844789862,21,3.479143233870023,0.08272605642114776,19,14.676433609299627,0.09693666198121532,17
72,0.3212291908483686,0.01823815279379804,23,5.607280942561504,0.06250503226130291,18,26.159060569978983,0.24396243168032136,20
81,0.4261379856117336,0.006325154701038784,23,9.313617061141745,0.28231715438542676,18,47.471601017700905,1.734149726153369,20
90,0.5801803859981841,0.03566325681484276,24,15.480771335972738,0.49251713982160017,21,80.67825281969272,1.4037438656871466,23
100,0.7655092777318454,0.04191035394907027,25,23.969721342104354,0.725855143125696,22,128.98585595027544,5.421188515611882,25
110,0.882043303555942,0.050578291729334146,24,33.836542597539456,0.20348155958610323,23,194.79314107231662,3.01454808045583,28
121,1.1767227545580161,0.09531564312148258,25,52.11071450612508,1.095358370778736,24,294.01137629086486,5.323941227858384,25
132,1.4705811572992908,0.0983572695679306,31,71.46686753628975,0.9417682790946773,25,459.73660288757776,6.070410440174148,30
144,1.808312050299719,0.0924825175421433,38,105.75460518301199,3.908976524215897,28,704.2152645280086,6.363184909226273,29
