Circuit Size,GidNET Mean Runtime,GidNET Stdev Runtime,GidNET Min Width,QNET Mean Runtime,QNET Stdev Runtime,QNET Min Width,Qiskit Mean Runtime,Qiskit Stdev Runtime,Qiskit Min Width
16,0.04289321899414063,0.0036967585006999646,8,0.2880611181259155,0.04245504663193381,8,0.04931528568267822,0.017711407466525192,11
20,0.05557174682617187,0.007194099667982672,9,0.7017272710800171,0.055366001401049525,9,0.0665050983428955,0.013075094745138207,14
25,0.10674426555633545,0.023844333146222002,10,2.1387335777282717,0.12233662566337954,9,0.06926653385162354,0.015851384297262888,16
30,0.12027218341827392,0.01771664421946498,11,4.562846112251282,0.2096765478659271,11,0.08693270683288574,0.016889219133561326,21
36,0.17850215435028077,0.019273067584233985,12,10.78975510597229,0.4558543795934245,11,0.12810699939727782,0.02906316601491661,22
42,0.27272112369537355,0.02631520837800798,12,24.67205204963684,0.7726115093920525,13,0.14323325157165528,0.031855555343725674,27
49,0.38260660171508787,0.04101524998589518,13,49.889653873443606,1.9262650803078967,14,0.20748207569122315,0.04497305468351259,33
56,0.5588488101959228,0.0501005648456798,14,85.77592792510987,2.640062453132543,19,0.2497779607772827,0.051872080085882906,40
64,0.7764760255813599,0.03876096917765483,17,165.6049208164215,5.825209350000273,17,0.3196014165878296,0.044826521750677736,45
72,1.2675474405288696,0.11005322143148824,18,300.1936933994293,10.937045848051522,20,0.31835834980010985,0.044524508746244536,51
81,1.575648021697998,0.1567774586827817,19,559.5116153717041,12.920273496135529,20,0.390346097946167,0.052576581965951275,56
90,2.19638831615448,0.15278940381801448,19,867.5109305858612,28.01031247854778,23,0.4443112134933472,0.07607107792592832,57
100,2.6716559886932374,0.13331752246752912,21,1450.8278997182847,55.08444030248625,25,0.49312212467193606,0.04641523403759107,66
110,3.7513555765151976,0.14930005018774578,23,2269.540877723694,13.267506923728734,23,0.5761092901229858,0.05852504312175188,76
121,5.039280247688294,0.1145591967924029,24,3561.8577042102816,138.62532935878843,24,0.5734876871109009,0.032504881662582065,83
132,5.45334529876709,0.10838099061344877,27,4845.640339946747,36.10096690460906,26,0.6321361780166626,0.03047443353303986,93
144,7.139191293716431,0.15841032925231527,28,7029.908559465408,241.7291614706716,29,0.7259576082229614,0.051541549417790856,102
