Circuit Size,Iterations,Width Distribution
42,10,"[13, 13, 12, 15, 12, 14, 12, 12, 13, 12, 12, 12, 13, 12, 12, 13, 13, 12, 12, 12, 12, 13, 12, 12, 13, 15, 12, 13, 12, 12]"
42,3,"[13, 15, 12, 13, 16, 16, 14, 15, 13, 17, 13, 13, 15, 13, 15, 18, 14, 14, 16, 17, 14, 15, 13, 12, 13, 12, 12, 13, 15, 12]"
42,3,"[12, 12, 12, 13, 12, 13, 16, 17, 17, 15, 13, 13, 13, 14, 17, 15, 12, 15, 14, 12, 14, 15, 14, 13, 15, 16, 14, 12, 14, 12]"
42,2,"[13, 15, 17, 16, 12, 16, 18, 16, 14, 13, 14, 14, 17, 17, 17, 15, 11, 17, 12, 13, 17, 17, 14, 16, 12, 12, 17, 12, 12, 14]"
49,49,"[13, 13, 13, 14, 13, 14, 14, 14, 14, 13, 13, 14, 14, 14, 14, 13, 14, 14, 14, 13, 13, 14, 14, 13, 13, 13, 14, 14, 14, 14]"
49,24,"[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13, 14, 15, 14, 14, 14, 13, 14, 14, 14, 14, 13, 14, 13, 13]"
49,12,"[14, 14, 15, 15, 14, 15, 13, 15, 14, 14, 15, 15, 15, 14, 14, 14, 13, 14, 14, 13, 14, 14, 15, 13, 14, 14, 14, 14, 14, 14]"
49,3,"[15, 14, 16, 15, 15, 17, 15, 15, 15, 17, 15, 14, 17, 18, 15, 15, 14, 16, 15, 14, 15, 16, 16, 14, 14, 15, 16, 14, 14, 15]"
49,3,"[20, 15, 15, 18, 15, 16, 18, 14, 14, 16, 15, 16, 17, 14, 14, 16, 17, 15, 18, 14, 15, 17, 14, 16, 14, 14, 14, 16, 14, 15]"
49,2,"[15, 20, 16, 14, 19, 15, 16, 13, 16, 15, 14, 13, 17, 16, 15, 17, 15, 16, 15, 16, 15, 19, 16, 14, 17, 16, 16, 16, 21, 20]"
56,56,"[15, 15, 15, 14, 15, 15, 15, 15, 16, 15, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 14, 15, 15]"
56,28,"[15, 15, 15, 15, 15, 14, 15, 16, 15, 14, 14, 16, 15, 15, 15, 16, 16, 16, 15, 15, 15, 15, 16, 15, 15, 16, 14, 15, 15, 15]"
56,14,"[15, 15, 15, 16, 16, 15, 16, 15, 18, 15, 15, 15, 16, 15, 15, 15, 16, 15, 16, 16, 15, 16, 15, 15, 15, 15, 15, 15, 15, 15]"
56,4,"[16, 16, 16, 21, 19, 17, 19, 18, 15, 16, 15, 19, 15, 15, 17, 15, 21, 18, 16, 15, 16, 16, 20, 18, 16, 16, 17, 19, 18, 15]"
56,3,"[17, 17, 16, 15, 18, 16, 22, 23, 19, 18, 15, 16, 19, 19, 17, 16, 22, 20, 18, 15, 15, 23, 16, 16, 17, 16, 16, 18, 18, 15]"
