,n,n/2,n/4,log(n),log(n/2),log(n/4)
10x11,0.02727272727272727,0.01818181818181818,0.2706766917293233,0.37894736842105264,0.6000000000000001,0.23076923076923078
11x11,0.05785123966942149,0.03278688524590164,0.06451612903225806,0.38974358974358975,0.19487179487179487,0.20212765957446807
11x12,0.05916305916305916,0.07395382395382395,0.05916305916305916,0.37272727272727274,0.2,0.20098039215686275
12x12,0.006944444444444444,0.013565891472868215,0.05426356589147286,0.19534883720930232,0.32941176470588235,0.21
