Circuit Size,GidNET Mean Runtime,GidNET Stdev Runtime,GidNET Width,QNET Mean Runtime,QNET Stdev Runtime,QNET Width,Qiskit Mean Runtime,Qiskit Stdev Runtime,Qiskit Width
4x4,0.07147006988525391,0.019267871472434257,10,0.20893592834472657,0.04276245060182614,9,0.09891438484191895,0.0535998071055593,10
4x5,0.07588319778442383,0.010548036391564219,11,0.5054939270019532,0.0652011182896051,10,0.11662006378173828,0.036637072610430595,15
