Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width
16,0.05411823208518659,0.0016622143678844137,8
20,0.08788764954245251,0.0014335735498972513,9
25,0.1634952763710836,0.005499958433786462,10
30,0.2619593490048179,0.007778757609029794,11
36,0.5026735462805456,0.014305368581258892,12
42,0.8801570200012065,0.04235495314772274,12
49,1.3587811004295614,0.07205951176059021,14
56,1.9283199664288466,0.1112550412741667,15
64,3.4861597761420335,0.05545023036531967,18
72,5.015760042708799,0.2680741829083549,18
81,7.057501318714848,0.16820011319847641,18
90,10.292317321578073,0.1803245098220933,20
100,14.511020314572047,0.21115463517016334,22
110,22.369284744848432,1.7378681907774258,23
121,27.825515915573174,0.5130726476764703,26
132,39.29545927257277,0.5741694948402724,26
144,52.438134625429356,1.0704599636736811,28
