Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width,QNET Average Runtime,QNET Stdev Runtime,QNET Width
16,0.029453659601443,0.000624996176253745,8,0.232041812318909,0.0206455904825504,8
20,0.0533647763576092,0.00229682202760646,10,0.644203399424441,0.0325105863544941,9
25,0.112910511456097,0.00460016483301282,10,1.91357036668342,0.0340463960678529,9
30,0.251761611135277,0.0173853659286088,11,4.44256883588553,0.116288914112935,12
36,0.417174360282453,0.0228699367592,12,10.3442208005747,0.343987727014561,11
42,0.802318541965048,0.0620817534365821,12,24.0051559528469,1.05698536391164,13
49,1.51537535730417,0.0959924581067098,13,43.0607131048205,1.04746407652384,14
56,2.08095120131371,0.0859616253542914,14,74.5704165705746,3.27211991080373,19
64,3.70821362329713,0.360354073921604,19,146.020070336726,1.9855278441897,19
72,5.59245964156331,0.331839257661903,18,270.305784115285,4.20290409550918,20
81,9.20984537613445,0.0785639817942523,18,477.491955507996,8.84035227482315,20
90,15.1710239994074,0.367329343785821,21,753.273386341453,10.3737820638047,23
100,22.47184966616,0.658527255543036,22,1268.25871725555,10.9157193180146,25
110,34.9588930444027,1.22136853710508,23,2045.40384203688,68.6444238704926,23
121,61.5730698334186,6.14677953987703,24,3250.86347069501,121.333828845993,24
132,76.0656140490069,0.639508187967492,25,4726.53186483856,192.844638170767,28
144,106.391831595717,3.17746897277243,28,7662.45137651584,211.900421869858,29
